date1,hour1,price,output
31.01.2015,4,29.75,3.708
31.01.2015,5,33.3,4.58
31.01.2015,6,37.42,5.872000000000001
31.01.2015,7,38.92,7.112
31.01.2015,8,44.29,9.085
31.01.2015,9,47.57,13.618
31.01.2015,10,48.19,20.000999999999998
31.01.2015,11,47.0,28.224
31.01.2015,12,48.94,35.674
31.01.2015,13,47.25,40.523
31.01.2015,14,40.55,42.041000000000004
31.01.2015,15,37.27,35.563
31.01.2015,16,37.19,34.306
31.01.2015,17,42.99,32.924
31.01.2015,18,50.96,31.127
31.01.2015,19,48.93,30.709
31.01.2015,20,43.35,34.101
31.01.2015,21,37.54,35.951
31.01.2015,22,40.36,36.154
31.01.2015,23,43.17,36.977
01.02.2015,0,39.89,38.846
01.02.2015,1,33.26,37.336999999999996
01.02.2015,2,29.15,32.88
01.02.2015,3,25.63,29.143
01.02.2015,4,25.78,27.031999999999996
01.02.2015,5,25.99,30.264
01.02.2015,6,24.26,32.478
01.02.2015,7,26.48,32.907
01.02.2015,8,31.15,40.098
01.02.2015,9,36.21,44.456
01.02.2015,10,38.84,47.153999999999996
01.02.2015,11,39.94,48.446999999999996
01.02.2015,12,41.59,49.475
01.02.2015,13,35.91,50.653999999999996
01.02.2015,14,30.54,49.053000000000004
01.02.2015,15,28.88,38.326
01.02.2015,16,29.89,31.371
01.02.2015,17,36.85,29.979
01.02.2015,18,50.79,37.202
01.02.2015,19,52.05,37.709
01.02.2015,20,52.01,36.463
01.02.2015,21,47.87,32.98
01.02.2015,22,45.8,31.429000000000002
01.02.2015,23,41.74,27.764
02.02.2015,0,42.47,24.186999999999998
02.02.2015,1,36.67,19.588
02.02.2015,2,36.4,16.01
02.02.2015,3,31.04,13.505999999999998
02.02.2015,4,29.87,10.915999999999999
02.02.2015,5,34.9,8.45
02.02.2015,6,43.47,5.812
02.02.2015,7,58.82,4.013
02.02.2015,8,60.41,3.9730000000000003
02.02.2015,9,61.33,7.336
02.02.2015,10,63.89,9.286
02.02.2015,11,62.61,9.646
02.02.2015,12,59.13,9.316
02.02.2015,13,57.99,8.026
02.02.2015,14,54.52,6.202000000000001
02.02.2015,15,45.74,4.288
02.02.2015,16,47.99,3.19
02.02.2015,17,58.96,2.897
02.02.2015,18,97.53,2.852
02.02.2015,19,95.74,3.221
